creative_id,image_file,photo_file,photo_sha256,has_person,cta_position,dominant_color,text_density,sha256
cr-line-aut-p1,cr-line-aut-p1.jpg,cr-line-aut-p1.jpg,59bf58d17a41dd8f66575226ada649b2bbf0e71cd1c9ae63057ec1b9066a6d8e,True,bottom_right,neutral,low,42f94cbaa0baff1226f54be88db147334ad90e868995509d7638b8891f257036
cr-line-aut-p2,cr-line-aut-p2.jpg,cr-line-aut-p2.jpg,eb60cd0ee389c19aad52a24e1ffae123b913e7063ccb40c16b2c861380f72138,True,none,warm,high,ca35753f1cc5a22da8593192ef3cd77180c3303a959b4db430d144d5014a72a5
cr-line-aut-r1,cr-line-aut-r1.jpg,cr-line-aut-r1.jpg,fa0d2e470f162a9ce23881aa9673ad4e19c061fa0a2c4b6f620dcb238d08cc11,False,bottom_right,neutral,low,cc4602e3b8343f41828e74cf313ce575968a2fe1bbc06a33a5af0562f779575e
cr-line-aut-r2,cr-line-aut-r2.jpg,cr-line-aut-r2.jpg,1defe7763be3c9f7df8738eb62334daa383238fed16b5c74c5f4ca5aec8836bb,False,center,warm,low,810a0289bbe2cd2c5098423b4752488f1e48368f94c9ab712e8fae5a20de37ec
cr-line-evg-p1,cr-line-evg-p1.jpg,cr-line-evg-p1.jpg,1ca670909164fea1c679d4457c78354ac58f19aed4741b94560aeba8f03a6d49,False,bottom_right,cool,high,b8a730f00e555576362d0ed64e53ed0a2d8712f34036552230447f559898c4e3
cr-line-evg-p2,cr-line-evg-p2.jpg,cr-line-evg-p2.jpg,48f4a4fc04d5eaa1b82b5196fdee1d488df57893b5e1903fe32e1fed5a06551a,True,center,neutral,high,e5da46ff34b0a91c467aa1a17deafee8f340ff32b4e85f33f64573ce24c22623
cr-line-evg-r1,cr-line-evg-r1.jpg,cr-line-evg-r1.jpg,1b03798c01490d7848b1ceeac59cdafcedaf99616b035b2ebebb8bdf7254efc0,False,none,warm,high,4fee53a8db56fe2e6b7f2fad21406be0efda8704a4f4e55e1231463f5d1e39e8
cr-line-evg-r2,cr-line-evg-r2.jpg,cr-line-evg-r2.jpg,38430d8a1f51e00ac9b1fd0a94ed23f20ff248437bc951c3375308aebe7ef0df,True,center,cool,high,31c6f8cdbab7c2dd42ab7885c3599ab677f2af10a778edf04b0fbf3a7c1f355f
cr-line-trn-p1,cr-line-trn-p1.jpg,cr-line-trn-p1.jpg,88cee93d660597c2d656dd7e0d62f65a222f70b560da358d76dcc228b9809fff,False,center,neutral,low,ca3d1081339bd5ce1b320f4ada0f5a459a90fe0b47819ea253af5f058b15d59a
cr-line-trn-p2,cr-line-trn-p2.jpg,cr-line-trn-p2.jpg,c92d0a8bf14a3f3965b98eecfb2fbc38f995485f17e8a662b14f3e17f30cba66,True,none,cool,low,997f210944b7d3f136c009c67e0162874764890c843f2a70e67a94604ad40b91
cr-line-trn-r1,cr-line-trn-r1.jpg,cr-line-trn-r1.jpg,d098070d4be573e15ac03a132a2b7662020d419219781dd23337705f50871c2a,True,bottom_right,neutral,high,d8ce45d7cd05733c44f6eabba2bceec6413fa19113182d1cccf2c7481f315707
cr-line-trn-r2,cr-line-trn-r2.jpg,cr-line-trn-r2.jpg,7c5d5ee0a99d1e8714ec62959f8b48d2b16fdc3c7be627317c48cfdf84fec2af,False,bottom_right,cool,high,3d8c4fe57d4561689d1bb54605c039bfb020f845109d51b6586b57dfb6e0c137
cr-meta-aut-p1,cr-meta-aut-p1.jpg,cr-meta-aut-p1.jpg,ea18438e2472c880c13c6615b1f24190c04ba176f8f3d7047d5d8ae7f205669e,False,center,cool,high,78bb43c217a6f8f708ab55d2ee5997a992ff5d1f0ad9e457fc43f0786795da98
cr-meta-aut-p2,cr-meta-aut-p2.jpg,cr-meta-aut-p2.jpg,b2d41830b07c0a8cbd7cb66d75cdbf529ede512b0f7c93687e8b89f49e63c8e3,False,none,neutral,high,b3d5ef66db791296322bd3257aa9319828dd569c06238840b13c339655d21a6a
cr-meta-aut-r1,cr-meta-aut-r1.jpg,cr-meta-aut-r1.jpg,f338293a3d235d92d67248f08dcb5597f0f55ea87bfec66968b200718128b65b,True,none,warm,low,f9573b3f3c16a51dd88d7dc8f0bdc8533d34fcc088f76d3820c0bc92557e2df1
cr-meta-aut-r2,cr-meta-aut-r2.jpg,cr-meta-aut-r2.jpg,441a9f1bc448f5599303d698859c03e752e8dc0c2f910b9d38b57f56f97d24ea,True,bottom_right,cool,low,74302905b1959220d767dbefd0f9fc9faf615e1b32c1120822b9986b7eda0d88
cr-meta-evg-p1,cr-meta-evg-p1.jpg,cr-meta-evg-p1.jpg,5e8998291cb3652fe88842407ebc1e652568e167dc17d56f0656aa989890892b,True,center,warm,low,792d716c55d16c59db8e407afacc9658eb4df20403285fa303216ad1a92f44ff
